"grupo_id","COLOR 1","COLOR 2","COLOR 3","COLOR 4","COLOR 5","COLOR 6"
"","TNL DK CNAVY INFRARED","","","","",""
"","TNL DK COLLEGE NAVY ELEC","","","","",""
"","TNL DK CRIMSON INFRARED","","","","",""
"","TNL DK DARK CINDER ELEC","","","","",""
"","TNL DK DESERT ORANGE ELEC","","","","",""
"","TNL DK DMAROON ELEC","","","","",""
"","TNL DK DSRT OR INFRARED","","","","",""
"","TNL DK DSRT ORANGE ELEC","","","","",""
"","TNL DK FIELD PURPLE ELEC","","","","",""
"","TNL DK KGREEN INFRARED","","","","",""
"","TNL DK MAROON INFRARED","","","","",""
"","TNL DK NAVY INFRARED","","","","",""
"","TNL DK PINK FIRE ELEC","","","","",""
"","TNL DK PINKFIRE INFRARED","","","","",""
"","TNL DK PURPLE INFRARED","","","","",""
"","TNL DK SCARLET ELEC","","","","",""
"","TNL DK SCARLET INFRARED","","","","",""
"","TNL DK TEAM CRIMSON ELEC","","","","",""
"","TNL DK TEAM ORANGE ELEC","","","","",""
"","TNL DK TIDAL BLUE ELEC","","","","",""
"","TNL DK TIDAL INFRARED","","","","",""
"","TNL DK TM BLUSTERY ELE","","","","",""
"","TONAL MD WHITE QUANTUM","","","","",""
"","TNL MD TM WHITE ELEC","","","","",""
"","4 - Tonal MD White","","","","",""
"","TNL MED WHITE INFRARED","","","","",""
"","TONAL MD BLACK QUANTUM","","","","",""
"","TNL MD TM BLACK ELEC","","","","",""
"","TONAL MD STEEL GREY QUANTUM","","","","",""
"","TNL MD TM DKSTEEL GREY ELEC","","","","",""
"","TNL MD STEELGREY INFRARED","","","","",""
"","TONAL MD BLUE GREY QUANTUM","","","","",""
"","TONAL MD WOLF GREY QUANTUM","","","","",""
"","TNL MD WOLF GREY ELEC","","","","",""
"","TNL MD BLUE GRY INFRARED","TNL MD WOLF GRY INFRARED","","","",""
"","TNL MD BROWN W160WK","","","","",""
"","TNL MD GORGE GREEN ELEC","","","","",""
"","TNL MD G GRN INFRARED","TNL MED GREEN INFRARED","","","",""
"","TONAL MEDIUM KELLY GREEN","Tonal MD Kelly Green","","","",""
"","TONAL MD OLIVE QUANTUM","","","","",""
"","TNL MD TM MED OLIVE ELEC","","","","",""
"","TNL MED OLIVE INFRARED","","","","",""
"","TNL MD VALOR B INFRARED","","","","",""
"","TNL MD VALOR BLUE ELEC","TONAL MD LIGHT BLUE QUANTUM","TNL MD LIGHT B INFRARED","","",""
"","TONAL MD VALOR BLUE QUANTUM","Tonal MD Navy","Tonal MD College Navy","","",""
"","TONAL MEDIUM NAVY","TONAL MD GAME ROYAL QUANTUM","","","",""
"","TONAL MD ROYAL QUANTUM","","","","",""
"","Tonal MD Royal","","","","",""
"","TNL MD TM ROYAL ELEC","TNL MD GROYAL INFRARED","","","",""
"","TNL MED ROYAL INFRARED","Tonal MD Purple","","","",""
"","TONAL MEDIUM PURPLE","TONAL MEDIUM PINK FIRE II","","","",""
"","Tonal MD Pink fire ll","TONAL MEDIUM CRIMSON","","","",""
"","Tonal MD Crimson","TONAL MEDIUM CARDINAL","","","",""
"","Tonal MD Cardinal","TONAL MEDIUM SCARLET","","","",""
"","Tonal MD Scarlet","","","","",""
"","TONAL MD BRIGHT GOLD QUANTUM","TONAL MD TM GOLD QUANTUM","","","",""
"","TONAL MD VEGAS GOLD QUANTUM","TNL MD TEAM GOLD ELEC","","","",""
"","TNL MD VEGAS GOLD ELEC","","","","",""
"","TONAL MEDIUM VEGAS GOLD","TONAL MEDIUM DESERT ORANGE","","","",""
"","Tonal MD Desert Orange","","","","",""
"","TONAL DARK WHITE MOTION","","","","",""
"","TONAL DK WHITE QUANTUM","Tonal DK Blue Grey","Tonal DK Wolf Grey","","",""
"","TONAL DARK BLUE GREY","TONAL DK WOLF GREY MOTION","","","",""
"","TONAL DK BLUE GREY MOTION","TONAL DARK PEWTER GREY","","","",""
"","Tonal DK Pewter Grey","","","","",""
"","TONAL DARK BROWN MOTION","","","","",""
"","TNL DK TM BROWN ELEC","","","","",""
"","TNL DK DARK CINDER ELEC","","","","",""
"","TONAL DARK CINDER MOTION","","","","",""
