CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
54 "87F BRIGHT CERAMIC RW20WK" 0.000000 57.000076 100.000000 0.000000 68.099489 38.101563 61.398438
55 "52M NEW ORCHID RW20WK" 91.000229 85.500877 0.000000 45.999847 22.600137 12.101563 -24.898438
56 "79Q SUNDOWN RW20WK" 0.000000 36.000610 100.000000 2.000458 77.000076 20.000000 77.000000
57 "08Q TM PEWTER GREY RW20WK" 27.589837 21.098650 32.500191 20.000000 67.100023 0.199219 7.500000
58 "77C GOLD RW20WK" 3.900206 37.500572 91.599908 0.000000 74.999619 21.000000 66.000000
59 "44U SIGNAL BLUE RW20WK" 94.599832 35.400931 7.100023 10.200656 45.000381 -22.000000 -41.000000
60 "78H AMARILLO RW20WK" 0.000000 25.000381 97.000076 0.000000 94.000153 -14.000000 82.000000
61 "3EY PRO GREEN RW20WK" 93.701076 2.999924 83.999390 84.599069 26.599527 -25.300781 12.500000
62 "03S TM Black NK1006640" 88.999771 3.999390 37.999542 94.999619 13.699550 -10.601563 -4.500000
63 "05X TM Anthracite NK1006640" 62.999924 37.000076 40.999466 80.999466 22.800031 -2.601563 0.300781
64 "03T Blue Grey NK1006640" 34.999619 25.499351 28.999771 11.500725 70.099947 0.601563 2.601563
65 "01P DARK STEEL GREY NK1006640" 88.999771 3.999390 86.500343 74.000153 27.800412 -25.898438 13.000000
66 "2AQ TM Brown NK1006640" 24.499886 57.500572 85.999847 90.000763 19.400320 8.500000 12.898438
67 "31V TM Dark Green NK1006640" 88.999771 3.999390 86.999313 88.999771 27.800412 -25.898438 13.000000
68 "3EM TM Kelly Green NK1006640" 79.499504 9.500267 85.999847 22.000458 48.299382 -35.101563 24.398438
69 "2DH TM Medium Olive NK1006640" 24.499886 8.999771 68.999771 74.000153 41.399252 -3.101563 25.000000
70 "43V TM Navy NK1006640" 94.000153 71.000229 22.999924 77.000076 14.900435 0.398438 -11.898438
71 "45W TM Blustery NK1006640" 92.500191 0.000000 59.499504 11.500725 50.899519 -45.300781 -0.601563
